מדבר,ref-sifre-n.1.5.78
אחד,ref-sifre-n.1.5.79
גדולים,ref-sifre-n.1.5.80
ואחד,ref-sifre-n.1.5.81
קטנים,ref-sifre-n.1.5.82
במשמע,ref-sifre-n.1.5.83
או,ref-sifre-n.1.5.84
אינו,ref-sifre-n.1.5.85
אלא,ref-sifre-n.1.5.86
כענין,ref-sifre-n.1.5.87
שענש,ref-sifre-n.1.5.88
מה,ref-sifre-n.1.5.89
מצינו,ref-sifre-n.1.5.90
בטמא,ref-sifre-n.1.5.91
מקדש,ref-sifre-n.1.5.92
שלא,ref-sifre-n.1.5.93
ענש,ref-sifre-n.1.5.94
אלא,ref-sifre-n.1.5.95
גדולים,ref-sifre-n.1.5.96
שנא׳,ref-sifre-n.1.5.97
ואיש,ref-sifre-n.1.5.98
אשר,ref-sifre-n.1.5.99
יטמא,ref-sifre-n.1.5.100
ולא,ref-sifre-n.1.5.101
יתחטא,ref-sifre-n.1.5.102
ונכרתה,ref-sifre-n.1.5.103
הנפש,ref-sifre-n.1.5.104
אף,ref-sifre-n.1.5.105
כאן,ref-sifre-n.1.5.106
לא,ref-sifre-n.1.5.107
נאמר,ref-sifre-n.1.5.108
אלא,ref-sifre-n.1.5.109
גדולים,ref-sifre-n.1.5.110
תלמוד,ref-sifre-n.1.5.111
לומר,ref-sifre-n.1.5.112
מזכר,ref-sifre-n.1.5.113
עד,ref-sifre-n.1.5.114
נקבה,ref-sifre-n.1.5.115
תשלחו,ref-sifre-n.1.5.116
אחד,ref-sifre-n.1.5.117
גדולים,ref-sifre-n.1.5.118
ואחד,ref-sifre-n.1.5.119
קטנים,ref-sifre-n.1.5.120
במשמע,ref-sifre-n.1.5.121
ר׳,ref-sifre-n.1.5.122
יונתן,ref-sifre-n.1.5.123
אומר,ref-sifre-n.1.5.124
מזכר,ref-sifre-n.1.5.125
עד,ref-sifre-n.1.5.126
נקבה,ref-sifre-n.1.5.127
תשלחו,ref-sifre-n.1.5.128
(למה,ref-sifre-n.1.5.129
נאמר,ref-sifre-n.1.5.130
לפי,ref-sifre-n.1.5.131
שהוא,ref-sifre-n.1.5.132
אומר,ref-sifre-n.1.5.133
וישלחו,ref-sifre-n.1.5.134
מן,ref-sifre-n.1.5.135
המחנה,ref-sifre-n.1.5.136
אין,ref-sifre-n.1.5.137
לי,ref-sifre-n.1.5.138
אלא,ref-sifre-n.1.5.139
אלו,ref-sifre-n.1.5.140
שאר,ref-sifre-n.1.5.141
טמאים,ref-sifre-n.1.5.142
מנין,ref-sifre-n.1.5.143
אמרת,ref-sifre-n.1.5.144
קל,ref-sifre-n.1.5.145
וחומר,ref-sifre-n.1.5.146
אם,ref-sifre-n.1.5.147
נדחו,ref-sifre-n.1.5.148
טמאים,ref-sifre-n.1.5.149
ממחנה,ref-sifre-n.1.5.150
ארון,ref-sifre-n.1.5.151
הקל,ref-sifre-n.1.5.152
קל,ref-sifre-n.1.5.153
וחומר,ref-sifre-n.1.5.154
ממחנה,ref-sifre-n.1.5.155
שכינה,ref-sifre-n.1.5.156
החמור,ref-sifre-n.1.5.157
אאם,ref-sifre-n.1.5.158
כן,ref-sifre-n.1.5.159
ענשת,ref-sifre-n.1.5.160
מן,ref-sifre-n.1.5.161
הדין,ref-sifre-n.1.5.162
לכך,ref-sifre-n.1.5.163
נאמר,ref-sifre-n.1.5.164
מזכר,ref-sifre-n.1.5.165
עד,ref-sifre-n.1.5.166
נקבה,ref-sifre-n.1.5.167
תשלחו,ref-sifre-n.1.5.168
לומר,ref-sifre-n.1.5.169
שאין,ref-sifre-n.1.5.170
עונשין,ref-sifre-n.1.5.171
מן,ref-sifre-n.1.5.172
הדין,ref-sifre-n.1.5.173
מזכר,ref-sifre-n.1.5.174
ועד,ref-sifre-n.1.5.175
נקבה,ref-sifre-n.1.5.176
אין,ref-sifre-n.1.5.177
לי,ref-sifre-n.1.5.178
אלא,ref-sifre-n.1.5.179
זכר,ref-sifre-n.1.5.180
ונקיבה,ref-sifre-n.1.5.181
טומטום,ref-sifre-n.1.5.182
ואנדרוגינוס,ref-sifre-n.1.5.183
מנין,ref-sifre-n.1.5.184
תלמוד,ref-sifre-n.1.5.185
לומר,ref-sifre-n.1.5.186
אל,ref-sifre-n.1.5.187
מחוץ,ref-sifre-n.1.5.188
למחנה,ref-sifre-n.1.5.189
תשלחום,ref-sifre-n.1.5.190
אין,ref-sifre-n.1.5.191
לי,ref-sifre-n.1.5.192
אלא,ref-sifre-n.1.5.193
שיכול,ref-sifre-n.1.5.194
להשתלח,ref-sifre-n.1.5.195
שאינו,ref-sifre-n.1.5.196
יכול,ref-sifre-n.1.5.197
להשתלח,ref-sifre-n.1.5.198
מנין,ref-sifre-n.1.5.199
תלמוד,ref-sifre-n.1.5.200
לומר,ref-sifre-n.1.5.201
אל,ref-sifre-n.1.5.202
מחוץ,ref-sifre-n.1.5.203
למחנה,ref-sifre-n.1.5.204
תשלחום,ref-sifre-n.1.5.205
אין,ref-sifre-n.1.5.206
לי,ref-sifre-n.1.5.207
אלא,ref-sifre-n.1.5.208
אדם,ref-sifre-n.1.5.209
כלים,ref-sifre-n.1.5.210
מנין,ref-sifre-n.1.5.211
תלמוד,ref-sifre-n.1.5.212
לומר,ref-sifre-n.1.5.213
אל,ref-sifre-n.1.5.214
מחוץ,ref-sifre-n.1.5.215
למחנה,ref-sifre-n.1.5.216
