lemma,pointer_in_volume,provenance
 אבאAbba,Vol-4-S-H_M-Semitic-Hebrew-Males-Abba-92,Babylonia? 
 אבהוAbbahu,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbahu-1,[Palestine?] 
 אבהוAbbahu,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbahu-2,[Palestine?] 
 אבהוAbbahu,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbahu-3,[Palestine?] 
 אבהוAbbahu,Vol-3-S-H_M-Semitic-Hebrew-Males-Abbahu-1,Egypt 
 אבהוAbbahu,Vol-4-S-H_M-Semitic-Hebrew-Males-Abbahu-1,Babylonia 
 אבהוAbbahu,Vol-4-S-H_M-Semitic-Hebrew-Males-Abbahu-2,Babylonia 
 אבייAbbayye,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbayye-1,[Palestine?] 
 אבייAbbayye,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbayye-2,[Palestine?] 
 אבייAbbayye,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbayye-3,[Palestine?] 
 אבייAbbayye,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbayye-4,[Palestine?] 
 אבייAbbayye,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbayye-5,[Palestine?] 
 אבייAbbayye,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbayye-6,[Palestine?] 
 אבייAbbayye,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbayye-7,[Palestine?] 
 אבייAbbayye,Vol-4-S-H_M-Semitic-Hebrew-Males-Abbayye-1,Babylonia 
 אבייAbbayye,Vol-4-S-H_M-Semitic-Hebrew-Males-Abbayye-2,Babylonia 
 אבייAbbayye,Vol-4-S-H_M-Semitic-Hebrew-Males-Abbayye-3,Babylonia 
 אבייAbbayye,Vol-4-S-H_M-Semitic-Hebrew-Males-Abbayye-4,Babylonia 
 אבייAbbayye,Vol-4-S-H_M-Semitic-Hebrew-Males-Abbayye-5,Babylonia 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-1,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-2,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-3,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-4,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-5,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-6,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-7,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-8,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-9,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-10,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-11,[Palestine?] 
 אביןAbbin,Vol-2-S-H_M-Semitic-Hebrew-Males-Abbin-12,[Palestine?] 
